,,,,,,,,,,Wonder,"All players producing stone, +4g",stone,x
,,,,,,,,,,New Territory,"Civ +1 pop, +3 gold",food,x
,,,,,,All contract payouts increased by 1.,,,,Floods,Players who produce food: +2g per food provided.  Everyone else: lose 1 zero-cost business and draw a card.,science,x
,,,,,,,,,,,,,
,,Laboratory,1,4,3,"If a 2nd science demand is revealed in the event row, gain 10g from the supply.",science,science,,Corruption,"Civ loses 1/3rd its gold, rounded down.",happiness,x
,,Museum,2,6,5,"When opened, keep development cards underneath.  Museum’s contract is +2g per age [] card underneath.",science,happiness,,Boom,Uncontracted businesses earn 2g each,hides,x
,,Coffee Roaster,1,4,3,You may develop twice on your turn.,happiness,,,Summer,Civ +1 pop,happiness,
,,,,,,,,,,Plague,Civ loses 1 population,stone,x
,,,,,,,,,,Discovery,"Each player producing science draws a card from the next deck, then discards a card.",swords,
,,,,,,,,,,Drought,Players producing food lose 4 gold.,food,x
,,Investor,1,4,2,"AAA (as an action), place a card under Investor, then draw.  End of the round, gain 1g per card from supply per card underneath.",,,,Harvest,Players producing food gain 4 gold.,stone,
,,University,2,7,5,"You may draw from from age III.  If III is exhausted, from age IV.",science,science,,Stimulus,"Add 3 cards to the demand pile, one at a time.",happiness,
,,,,,,,hides,,,Rebellion,"Civ loses 9g, reduced 3g per happiness provided by players",swords,x
,,,,,,,,,,Breakthrough,"Each player draws a card from the deck for each science they produce, then discards that many cards.",bronze,
,,Stone Cutter,3,8,3,You may develop a business once the same turn you start it.,stone,stone,,,,,
,,,,,,"When opened, gain Ng",,,,,,,
,,,,,,"If you have <8g, gain 3g.",,,,,,,
,,,,,,Gain 1g per pop on your turn.,,,,,,,
,,,,,,"When barbarians are evaluated, add two to their numbers.",,,,,,,
,,,,,,When a barbarian is added to the demand pile….,,,,,,,
,,,,,,"End of the round, gain 1g from the supply for each [  ] icon you have.",,,,Crusades,,,
,,,,,,,,,,Fashion,Discard all hide-providing businesses.,cloth,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"After playing an event, you may discard a face-up event.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Unpaid contracts do not cancel.,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Peace,Destroy all spear providers.,cloth,x
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"Each turn, you may discard a card and then draw a card.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Com Bank,2,7,6,"AAA (as an action), put 1g here.  Each round, add 1/3rd rounding down.  You get all gold at the end of the game.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Coal Plan,,,,,,,,,,,
,,Gravedigger,,,,"When built, look through any age’s discard pile add a card to your hand, then discard.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"If uncontracted, on your turn or end of the round, gain 1g per pop.",,,,,,,
